"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"1998 week 10";"2812";"510";"999";"1303"
"1998 week 11";"2876";"523";"992";"1361"
"1998 week 12";"2991";"514";"1043";"1434"
"1998 week 13";"2984";"513";"1022";"1449"
"1998 week 14";"3107";"540";"1061";"1506"
"1998 week 15";"2910";"512";"1035";"1363"
"1998 week 16";"2900";"519";"1036";"1345"
"1998 week 17";"2768";"442";"980";"1346"
"1998 week 18";"2692";"497";"908";"1287"
"1998 week 19";"2598";"494";"892";"1212"
"1998 week 20";"2826";"491";"977";"1358"
"1998 week 21";"2588";"475";"884";"1229"
"1998 week 22";"2505";"516";"887";"1102"
"1998 week 23";"2368";"450";"828";"1090"
"1998 week 24";"2383";"487";"840";"1056"
"1998 week 25";"2545";"534";"882";"1129"
"1998 week 26";"2456";"461";"862";"1133"
"1998 week 27";"2451";"476";"882";"1093"
"1998 week 28";"2456";"507";"849";"1100"
"1998 week 29";"2408";"475";"872";"1061"
"1998 week 30";"2588";"496";"889";"1203"
"1998 week 31";"2409";"492";"803";"1114"
"1998 week 32";"2450";"472";"840";"1138"
"1998 week 33";"2514";"515";"826";"1173"
"1998 week 34";"2399";"488";"862";"1049"
"1998 week 35";"2343";"503";"816";"1024"
"1998 week 36";"2478";"513";"853";"1112"
"1998 week 37";"2430";"458";"868";"1104"
"1998 week 38";"2496";"520";"906";"1070"
"1998 week 39";"2524";"502";"902";"1120"
"1998 week 40";"2471";"506";"885";"1080"
"1998 week 41";"2484";"464";"863";"1157"
"1998 week 42";"2623";"506";"935";"1182"
"1998 week 43";"2537";"511";"895";"1131"
"1998 week 44";"2453";"523";"862";"1068"
"1998 week 45";"2570";"492";"915";"1163"
"1998 week 46";"2621";"503";"963";"1155"
"1998 week 47";"2697";"538";"968";"1191"
"1998 week 48";"2713";"523";"984";"1206"
"1998 week 49";"2866";"537";"1019";"1310"
"1998 week 50";"3034";"557";"1056";"1421"
"1998 week 51";"3058";"592";"1040";"1426"
"1998 week 52";"2964";"557";"1002";"1405"
"1998 week 53 (4 dagen)";"1732";"326";"587";"819"
"1998";"137482";"26031";"47865";"63586"
"1999 week 1";"3106";"537";"965";"1604"
"1999 week 2";"3005";"529";"981";"1495"
"1999 week 3";"2918";"527";"949";"1442"
"1999 week 4";"2866";"502";"1024";"1340"
"1999 week 5";"2972";"523";"988";"1461"
"1999 week 6";"3105";"509";"1062";"1534"
"1999 week 7";"3123";"507";"1094";"1522"
"1999 week 8";"3134";"495";"1016";"1623"
"1999 week 9";"3241";"516";"1113";"1612"
"1999 week 10";"3078";"529";"1019";"1530"
"1999 week 11";"2797";"511";"949";"1337"
"1999 week 12";"2824";"515";"948";"1361"
"1999 week 13";"2713";"511";"906";"1296"
"1999 week 14";"2671";"460";"930";"1281"
"1999 week 15";"2533";"467";"899";"1167"
"1999 week 16";"2646";"491";"954";"1201"
"1999 week 17";"2636";"514";"926";"1196"
"1999 week 18";"2674";"488";"969";"1217"
"1999 week 19";"2507";"522";"832";"1153"
"1999 week 20";"2589";"530";"881";"1178"
"1999 week 21";"2561";"463";"908";"1190"
"1999 week 22";"2534";"490";"886";"1158"
"1999 week 23";"2575";"522";"900";"1153"
"1999 week 24";"2583";"493";"928";"1162"
"1999 week 25";"2462";"487";"898";"1077"
"1999 week 26";"2630";"552";"911";"1167"
"1999 week 27";"2485";"475";"840";"1170"
"1999 week 28";"2611";"488";"904";"1219"
"1999 week 29";"2548";"464";"879";"1205"
"1999 week 30";"2486";"506";"835";"1145"
"1999 week 31";"2753";"514";"919";"1320"
"1999 week 32";"2452";"509";"824";"1119"
"1999 week 33";"2450";"527";"866";"1057"
"1999 week 34";"2571";"566";"873";"1132"
"1999 week 35";"2459";"486";"871";"1102"
"1999 week 36";"2501";"503";"883";"1115"
"1999 week 37";"2527";"512";"847";"1168"
"1999 week 38";"2497";"496";"880";"1121"
"1999 week 39";"2458";"536";"909";"1013"
"1999 week 40";"2335";"479";"845";"1011"
"1999 week 41";"2403";"479";"873";"1051"
"1999 week 42";"2631";"537";"963";"1131"
"1999 week 43";"2663";"497";"942";"1224"
"1999 week 44";"2565";"518";"924";"1123"
"1999 week 45";"2583";"498";"936";"1149"
"1999 week 46";"2571";"523";"938";"1110"
"1999 week 47";"2631";"523";"924";"1184"
"1999 week 48";"2618";"511";"953";"1154"
"1999 week 49";"2791";"536";"958";"1297"
"1999 week 50";"2885";"554";"1022";"1309"
"1999 week 51";"2974";"519";"1064";"1391"
"1999 week 52 (5 dagen)";"2306";"408";"811";"1087"
"1999";"140487";"26557";"48729";"65201"
"2000 week 1";"3564";"543";"1071";"1950"
"2000 week 2";"3438";"512";"1109";"1817"
"2000 week 3";"3307";"563";"994";"1750"
"2000 week 4";"3203";"555";"1038";"1610"
"2000 week 5";"2967";"496";"971";"1500"
"2000 week 6";"2835";"479";"922";"1434"
"2000 week 7";"2773";"481";"960";"1332"
"2000 week 8";"2869";"521";"924";"1424"
"2000 week 9";"2673";"489";"891";"1293"
"2000 week 10";"2690";"495";"894";"1301"
"2000 week 11";"2673";"496";"887";"1290"
"2000 week 12";"2533";"505";"837";"1191"
"2000 week 13";"2554";"511";"851";"1192"
"2000 week 14";"2690";"505";"879";"1306"
"2000 week 15";"2687";"507";"913";"1267"
"2000 week 16";"2705";"501";"882";"1322"
"2000 week 17";"2647";"488";"902";"1257"
"2000 week 18";"2554";"490";"869";"1195"
"2000 week 19";"2744";"530";"909";"1305"
"2000 week 20";"2698";"488";"888";"1322"
"2000 week 21";"2455";"481";"858";"1116"
"2000 week 22";"2513";"472";"864";"1177"
"2000 week 23";"2484";"484";"845";"1155"
