"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"2016 week 35";"2591";"420";"791";"1380"
"2016 week 36";"2584";"414";"782";"1388"
"2016 week 37";"2725";"439";"825";"1461"
"2016 week 38";"2500";"409";"810";"1281"
"2016 week 39";"2665";"411";"817";"1437"
"2016 week 40";"2683";"412";"836";"1435"
"2016 week 41";"2934";"461";"938";"1535"
"2016 week 42";"2744";"450";"833";"1461"
"2016 week 43";"2948";"458";"844";"1646"
"2016 week 44";"2731";"400";"809";"1522"
"2016 week 45";"2912";"426";"880";"1606"
"2016 week 46";"2902";"429";"866";"1607"
"2016 week 47";"2908";"395";"876";"1637"
"2016 week 48";"2949";"442";"869";"1638"
"2016 week 49";"3042";"457";"935";"1650"
"2016 week 50";"3129";"444";"944";"1741"
"2016 week 51";"3072";"417";"942";"1713"
"2016 week 52 (6 dagen)";"2860";"413";"840";"1607"
"2016";"148997";"22287";"44361";"82349"
"2017 week 1";"3568";"454";"929";"2185"
"2017 week 2";"3637";"418";"993";"2226"
"2017 week 3";"3487";"428";"894";"2165"
"2017 week 4";"3626";"447";"956";"2223"
"2017 week 5";"3574";"424";"1038";"2112"
"2017 week 6";"3446";"472";"929";"2045"
"2017 week 7";"3417";"466";"877";"2074"
"2017 week 8";"3328";"439";"914";"1975"
"2017 week 9";"3152";"407";"828";"1917"
"2017 week 10";"3054";"436";"886";"1732"
"2017 week 11";"2843";"426";"795";"1622"
"2017 week 12";"2778";"413";"818";"1547"
"2017 week 13";"2850";"426";"866";"1558"
"2017 week 14";"2764";"435";"800";"1529"
"2017 week 15";"2810";"401";"866";"1543"
"2017 week 16";"2713";"403";"815";"1495"
"2017 week 17";"2778";"388";"821";"1569"
"2017 week 18";"2769";"389";"840";"1540"
"2017 week 19";"2802";"379";"853";"1570"
"2017 week 20";"2801";"387";"848";"1566"
"2017 week 21";"2772";"402";"830";"1540"
"2017 week 22";"2701";"377";"840";"1484"
"2017 week 23";"2624";"418";"749";"1457"
"2017 week 24";"2643";"400";"794";"1449"
"2017 week 25";"2627";"415";"803";"1409"
"2017 week 26";"2691";"435";"785";"1471"
"2017 week 27";"2697";"401";"816";"1480"
"2017 week 28";"2520";"397";"758";"1365"
"2017 week 29";"2674";"397";"832";"1445"
"2017 week 30";"2571";"384";"819";"1368"
"2017 week 31";"2510";"386";"775";"1349"
"2017 week 32";"2657";"416";"838";"1403"
"2017 week 33";"2540";"404";"795";"1341"
"2017 week 34";"2545";"384";"763";"1398"
"2017 week 35";"2576";"401";"790";"1385"
"2017 week 36";"2570";"384";"846";"1340"
"2017 week 37";"2707";"416";"864";"1427"
"2017 week 38";"2715";"443";"854";"1418"
"2017 week 39";"2669";"401";"823";"1445"
"2017 week 40";"2641";"421";"793";"1427"
"2017 week 41";"2763";"416";"877";"1470"
"2017 week 42";"2706";"394";"832";"1480"
"2017 week 43";"2676";"397";"791";"1488"
"2017 week 44";"2726";"427";"798";"1501"
"2017 week 45";"2797";"445";"795";"1557"
"2017 week 46";"2916";"430";"911";"1575"
"2017 week 47";"2917";"411";"912";"1594"
"2017 week 48";"2886";"419";"880";"1587"
"2017 week 49";"3027";"457";"899";"1671"
"2017 week 50";"3218";"458";"1017";"1743"
"2017 week 51";"3079";"424";"918";"1737"
"2017 week 52";"3187";"437";"934";"1816"
"2017";"150214";"21694";"44425";"84095"
"2018 week 1";"3343";"431";"932";"1980"
"2018 week 2";"3359";"406";"926";"2027"
"2018 week 3";"3364";"423";"983";"1958"
"2018 week 4";"3322";"408";"936";"1978"
"2018 week 5";"3403";"456";"921";"2026"
"2018 week 6";"3513";"443";"970";"2100"
"2018 week 7";"3660";"427";"1070";"2163"
"2018 week 8";"3691";"434";"1047";"2210"
"2018 week 9";"3937";"468";"1111";"2358"
"2018 week 10";"4092";"464";"1114";"2514"
"2018 week 11";"3733";"445";"1045";"2243"
"2018 week 12";"3430";"438";"947";"2045"
"2018 week 13";"3225";"411";"897";"1917"
"2018 week 14";"3040";"445";"902";"1693"
"2018 week 15";"2860";"402";"846";"1612"
"2018 week 16";"2760";"380";"874";"1506"
"2018 week 17";"2663";"400";"829";"1434"
"2018 week 18";"2645";"395";"767";"1483"
"2018 week 19";"2641";"371";"758";"1512"
"2018 week 20";"2606";"350";"825";"1431"
"2018 week 21";"2674";"391";"797";"1486"
"2018 week 22";"2776";"416";"857";"1503"
"2018 week 23";"2679";"399";"825";"1455"
"2018 week 24";"2557";"372";"797";"1388"
"2018 week 25";"2601";"362";"803";"1436"
"2018 week 26";"2619";"383";"784";"1452"
"2018 week 27";"2726";"406";"838";"1482"
"2018 week 28";"2671";"408";"805";"1458"
"2018 week 29";"2704";"391";"810";"1503"
"2018 week 30";"2767";"405";"824";"1538"
"2018 week 31";"2760";"402";"867";"1491"
"2018 week 32";"2745";"424";"827";"1494"
"2018 week 33";"2605";"404";"785";"1416"
"2018 week 34";"2612";"375";"813";"1424"
"2018 week 35";"2527";"407";"808";"1312"
"2018 week 36";"2613";"417";"811";"1385"
"2018 week 37";"2539";"368";"819";"1352"
"2018 week 38";"2706";"428";"868";"1410"
"2018 week 39";"2696";"447";"804";"1445"
"2018 week 40";"2806";"441";"873";"1492"
"2018 week 41";"2760";"432";"832";"1496"
"2018 week 42";"2739";"384";"831";"1524"
"2018 week 43";"2671";"430";"857";"1384"
"2018 week 44";"2815";"408";"920";"1487"
"2018 week 45";"2798";"407";"907";"1484"
"2018 week 46";"2761";"431";"825";"1505"
"2018 week 47";"2859";"403";"928";"1528"
"2018 week 48";"2907";"423";"916";"1568"
"2018 week 49";"2968";"438";"905";"1625"
"2018 week 50";"3017";"470";"960";"1587"
"2018 week 51";"3041";"425";"928";"1688"
"2018 week 52";"2901";"408";"909";"1584"
"2018 week 53 (1 dag)";"456";"66";"142";"248"
"2018";"153363";"21568";"45975";"85820"
"2019 week 1 (6 dagen)";"2606";"341";"715";"1550"
"2019 week 2";"3262";"463";"864";"1935"
"2019 week 3";"3152";"396";"928";"1828"
"2019 week 4";"3179";"420";"931";"1828"
"2019 week 5";"3139";"438";"944";"1757"
"2019 week 6";"3183";"400";"983";"1800"
"2019 week 7";"3254";"405";"915";"1934"
"2019 week 8";"3220";"414";"939";"1867"
"2019 week 9";"3065";"400";"877";"1788"
"2019 week 10";"3172";"429";"938";"1805"
"2019 week 11";"3225";"414";"979";"1832"
"2019 week 12";"3043";"400";"860";"1783"
"2019 week 13";"3013";"396";"893";"1724"
"2019 week 14";"2898";"384";"847";"1667"
"2019 week 15";"2902";"403";"889";"1610"
"2019 week 16";"3036";"425";"899";"1712"
"2019 week 17";"2956";"367";"859";"1730"
"2019 week 18";"2806";"377";"869";"1560"
"2019 week 19";"2772";"378";"821";"1573"
"2019 week 20";"2821";"387";"811";"1623"
"2019 week 21";"2873";"404";"810";"1659"
"2019 week 22";"2730";"387";"846";"1497"
"2019 week 23";"2734";"417";"805";"1512"
"2019 week 24";"2647";"368";"818";"1461"
"2019 week 25";"2692";"365";"865";"1462"
"2019 week 26";"2836";"411";"857";"1568"
"2019 week 27";"2725";"385";"866";"1474"
"2019 week 28";"2761";"402";"841";"1518"
"2019 week 29";"2586";"402";"816";"1368"
"2019 week 30";"3006";"433";"879";"1694"
"2019 week 31";"2731";"379";"857";"1495"
"2019 week 32";"2629";"371";"783";"1475"
"2019 week 33";"2613";"360";"837";"1416"
"2019 week 34";"2617";"373";"814";"1430"
"2019 week 35";"2783";"383";"905";"1495"
"2019 week 36";"2553";"377";"782";"1394"
"2019 week 37";"2642";"380";"847";"1415"
"2019 week 38";"2580";"355";"817";"1408"
"2019 week 39";"2751";"395";"861";"1495"
"2019 week 40";"2717";"409";"815";"1493"
"2019 week 41";"2912";"411";"945";"1556"
"2019 week 42";"2879";"383";"912";"1584"
"2019 week 43";"2867";"402";"935";"1530"
"2019 week 44";"2856";"394";"884";"1578"
"2019 week 45";"3015";"467";"852";"1696"
"2019 week 46";"3060";"458";"922";"1680"
"2019 week 47";"3023";"389";"925";"1709"
"2019 week 48";"3045";"424";"944";"1677"
"2019 week 49";"3018";"407";"918";"1693"
"2019 week 50";"3161";"430";"1021";"1710"
"2019 week 51";"3253";"454";"1000";"1799"
"2019 week 52";"3028";"410";"936";"1682"
"2019 week 53 (2 dagen)";"858";"113";"264";"481"
"2019";"151885";"20935";"45940";"85010"
"2020 week 1 (5 dagen)*";"2245";"272";"632";"1341"
"2020 week 2*";"3364";"432";"967";"1965"
"2020 week 3*";"3155";"416";"913";"1826"
"2020 week 4*";"3045";"352";"936";"1757"
"2020 week 5*";"3162";"449";"924";"1789"
"2020 week 6*";"3193";"400";"981";"1812"
"2020 week 7*";"3198";"409";"937";"1852"
"2020 week 8*";"2958";"340";"869";"1749"
"2020 week 9*";"3096";"403";"911";"1782"
"2020 week10*";"3104";"392";"889";"1823"
"2020 week 11*";"3217";"408";"949";"1860"
"2020 week 12*";"3615";"450";"1079";"2086"
"2020 week 13*";"4459";"502";"1402";"2555"
"2020 week 14*";"5084";"498";"1503";"3083"
"2020 week 15*";"4978";"482";"1435";"3061"
"2020 week 16*";"4299";"425";"1228";"2646"
"2020 week 17*";"3906";"454";"1153";"2299"
"2020 week 18*";"3378";"443";"999";"1936"
"2020 week 19*";"2984";"388";"914";"1682"
"2020 week 20*";"2773";"373";"832";"1568"
"2020 week 21*";"2770";"368";"805";"1597"
"2020 week 22*";"2725";"366";"857";"1502"
"2020 week 23*";"2682";"385";"836";"1461"
"2020 week 24*";"2691";"407";"835";"1449"
"2020 week 25*";"2692";"375";"855";"1462"
"2020 week 26*";"2659";"381";"828";"1450"
"2020 week 27*";"2636";"402";"807";"1427"
"2020 week 28*";"2614";"386";"812";"1416"
"2020 week 29*";"2526";"370";"775";"1381"
"2020 week 30*";"2670";"408";"821";"1441"
"2020 week 31*";"2657";"372";"840";"1445"
"2020 week 32*";"2634";"417";"819";"1398"
"2020 week 33*";"3202";"462";"927";"1813"
"2020 week 34*";"2836";"411";"856";"1569"
"2020 week 35*";"2715";"347";"855";"1513"
"2020 week 36*";"2661";"405";"819";"1437"
"2020 week 37*";"2704";"380";"883";"1441"
"Bron: CBS"
